image_id,label
tHpqlCor.png,lontara
B494gp8Z.png,jawa
rJZQjxc0.png,jawi
hO9fOUhw.png,sunda
Q4K6YjCj.png,sunda
PbvtXzAF.png,lontara
bvZgcoNn.png,jawi
vrNJOkCG.png,jawa
qzpRIEtV.png,jawa
305fGZ3w.png,jawi
oV1rqiki.png,sunda
efsCVAXh.png,jawi
SZlo4nAd.png,lontara
Odiwgs3f.png,jawi
XnmCJESw.png,pegon
3YX19rhG.png,pegon
HRCr8t7l.png,pegon
jYTQSpdW.png,bali
7E48jzhq.png,lontara
TVGT0l15.png,lampung
brPaEeqP.png,lontara
GmuReuLR.png,sunda
GsOT0T5x.png,lampung
5rjyLVjM.png,sunda
zserujX8.jpg,bali
ULOLP0Ie.png,sunda
tzoxINik.png,jawi
SWmX6WTA.png,lontara
UmCiBs0K.png,jawi
qRtpcq8R.png,lampung
sEWlF4GG.png,jawa
kg4W1LjT.png,jawa
gEPhuYHT.png,jawi
VwBH4U2s.png,jawa
WdbxpsD0.png,lontara
c5qAky23.png,sunda
E7eISFeD.png,jawi
sQzD0xtD.png,bali
au9mLbd8.png,jawi
Pr22tEu7.jpg,pegon
nY3i2PTt.png,bali
KxxJsUIA.png,bali
e5T265XU.png,pegon
92Scn6vQ.png,bali
feSarHT2.png,pegon
XDdeBeL4.png,sunda
R7Hd50RH.png,lampung
vZh1HlrP.png,pegon
NTvU9OQs.png,jawi
N8Bs9W3h.png,bali
F53YDFQs.png,lontara
kFuOywWA.png,jawi
Z1un6yl6.png,lontara
jUXNviVX.png,jawi
mh4YpTLf.png,sunda
ozj6KCYP.png,bali
1pFJnWNU.png,jawi
g6icPNYH.png,lontara
bGRWCsTu.png,jawa
dCSSepmf.png,bali
V9zZHbxx.png,lontara
9RppdSnF.png,lontara
AOntxfbJ.png,pegon
UW8zRXPQ.png,jawi
YapID8rH.png,jawa
iLTzTF1l.png,jawi
dqBT88Ps.png,jawi
UFE3w0yF.png,bali
FPktjVik.png,pegon
ciJA1mjW.png,jawa
t70ANyVM.png,bali
wTOJkzj8.png,jawa
NGSYgYgV.png,sunda
nxOWgGHf.jpg,bali
MzfJHQdz.png,lontara
mASmqPJv.png,jawi
FD30O9tB.png,jawa
sntQGqx6.png,bali
iPc57tQw.png,jawi
JlEpM3oC.png,bali
